Unnamed: 0,Anders,Aslak,Even,Frida,Hector,Kjetil,Mari,Nicholas,Nora,Sindre,Stian,Jonny,Johannes
06/25,,,28925.0,35609.0,39451.0,,46150.0,16662.0,35035.0,,,,
06/26,35596.0,,26202.0,41033.0,36898.0,36508.0,45506.0,14353.0,38035.0,31274.0,,,
06/27,,,32996.0,40416.0,40603.0,,,,30366.0,,,,
06/28,43643.0,,28821.0,34031.0,,,,,31087.0,,,,
07/01,,33092.0,29648.0,36001.0,41582.0,30003.0,32980.0,,40374.0,,,,
07/02,,,25073.0,,32872.0,35125.0,38308.0,39164.0,34383.0,25736.0,,,
07/03,37011.0,,24238.0,30399.0,34933.0,23868.0,,,21275.0,29772.0,26732.0,,
07/04,,,37765.0,38834.0,37287.0,32498.0,,35436.0,39761.0,33454.0,40748.0,,
07/05,44735.0,42031.0,,,40023.0,30978.0,36639.0,,42281.0,,41908.0,,
07/08,,,,35837.0,45978.0,40479.0,30316.0,36292.0,36538.0,,41879.0,,
07/09,39852.0,,,,33074.0,31581.0,32554.0,21741.0,32027.0,,36389.0,,
07/10,32077.0,,,40378.0,31681.0,31850.0,25867.0,38589.0,37346.0,29043.0,33608.0,,
07/11,40116.0,,,29304.0,39534.0,43558.0,42657.0,,32302.0,,33283.0,,
07/12,,,,,,,31549.0,,,,,,
07/15,30946.0,,,37907.0,,35815.0,41147.0,,42007.0,23383.0,39976.0,,
07/16,34021.0,,35306.0,41466.0,,38461.0,,,39751.0,33192.0,35423.0,,
07/17,43764.0,,,28671.0,32907.0,36896.0,18924.0,,34035.0,29679.0,,,
07/18,39036.0,,,37470.0,37229.0,37811.0,,,34035.0,34249.0,,,
07/19,46771.0,,37241.0,,46739.0,35522.0,,,39646.0,36869.0,,,
07/22,37320.0,,,,37077.0,38963.0,39993.0,,36817.0,28382.0,41247.0,,
07/23,42577.0,,42542.0,,41818.0,36923.0,25967.0,42505.0,25273.0,27764.0,34287.0,,
07/24,35128.0,,40455.0,,34642.0,39195.0,38831.0,,40240.0,30646.0,38546.0,,
07/25,33745.0,,33979.0,,,31691.0,,37173.0,28230.0,31446.0,36438.0,,
07/26,43930.0,,35934.0,,43526.0,33804.0,24150.0,,39794.0,36340.0,40768.0,,
07/29,33571.0,,,,,30811.0,,,35392.0,34007.0,33423.0,43859.0,
07/30,42649.0,,45310.0,,,46519.0,,32941.0,44396.0,36281.0,,,
07/31,43821.0,,,,,37239.0,,39236.0,37178.0,37172.0,41458.0,,
08/01,35063.0,,39289.0,,,37767.0,,,37642.0,27421.0,,,29204.0
08/02,37981.0,,,,,28378.0,,,42871.0,38401.0,,,28342.0
08/03,44460.0,,,,,,,,,,,,
08/05,43775.0,,46161.0,,48222.0,44959.0,,38042.0,43823.0,38049.0,,,
08/06,40407.0,29214.0,28933.0,,39929.0,41907.0,33301.0,,40071.0,42892.0,,,29521.0
08/07,30344.0,39896.0,,,40722.0,39098.0,38109.0,,31335.0,31410.0,,,
08/08,37469.0,44593.0,28792.0,,36592.0,,39328.0,,41045.0,37709.0,40987.0,,
